Team_1,Team_2,Winner,Margin,Ground,Match Date,Match_id
Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai,"Dec 14, 2019",ODI # 4219
U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai,"Dec 15, 2019",ODI # 4220
India,West Indies,West Indies,8 wickets,Chennai,"Dec 15, 2019",ODI # 4221
India,West Indies,India,107 runs,Visakhapatnam,"Dec 18, 2019",ODI # 4222
India,West Indies,India,4 wickets,Cuttack,"Dec 22, 2019",ODI # 4223
Oman,U.A.E.,Oman,5 wickets,Al Amerat,"Jan 5, 2020",ODI # 4224
Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,"Jan 6, 2020",ODI # 4225
West Indies,Ireland,West Indies,5 wickets,Bridgetown,"Jan 7, 2020",ODI # 4226
Oman,Namibia,Namibia,52 runs,Al Amerat,"Jan 8, 2020",ODI # 4227
Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,"Jan 9, 2020",ODI # 4228
West Indies,Ireland,West Indies,1 wicket,Bridgetown,"Jan 9, 2020",ODI # 4229
West Indies,Ireland,West Indies,5 wickets,St George's,"Jan 12, 2020",ODI # 4230
India,Australia,Australia,10 wickets,Wankhede,"Jan 14, 2020",ODI # 4231
India,Australia,India,36 runs,Rajkot,"Jan 17, 2020",ODI # 4232
India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020",ODI # 4233
South Africa,England,South Africa,7 wickets,Cape Town,"Feb 4, 2020",ODI # 4234
New Zealand,India,New Zealand,4 wickets,Hamilton,"Feb 5, 2020",ODI # 4235
Nepal,Oman,Oman,18 runs,Kirtipur,"Feb 5, 2020",ODI # 4236
Oman,U.S.A.,Oman,6 wickets,Kirtipur,"Feb 6, 2020",ODI # 4237
South Africa,England,no result,,Durban,"Feb 7, 2020",ODI # 4238
New Zealand,India,New Zealand,22 runs,Auckland,"Feb 8, 2020",ODI # 4239
Nepal,U.S.A.,Nepal,35 runs,Kirtipur,"Feb 8, 2020",ODI # 4240
Nepal,Oman,Oman,8 wickets,Kirtipur,"Feb 9, 2020",ODI # 4241
South Africa,England,England,2 wickets,Johannesburg,"Feb 9, 2020",ODI # 4242
New Zealand,India,New Zealand,5 wickets,Mount Maunganui,"Feb 11, 2020",ODI # 4243
Oman,U.S.A.,Oman,92 runs,Kirtipur,"Feb 11, 2020",ODI # 4244
Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,"Feb 12, 2020",ODI # 4245
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),"Feb 22, 2020",ODI # 4246
Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,"Feb 26, 2020",ODI # 4247
South Africa,Australia,South Africa,74 runs,Paarl,"Feb 29, 2020",ODI # 4248
Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,"Mar 1, 2020",ODI # 4249
Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,"Mar 1, 2020",ODI # 4250
Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,"Mar 3, 2020",ODI # 4251
South Africa,Australia,South Africa,6 wickets,Bloemfontein,"Mar 4, 2020",ODI # 4252
Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,"Mar 6, 2020",ODI # 4253
South Africa,Australia,South Africa,6 wickets,Potchefstroom,"Mar 7, 2020",ODI # 4254
Australia,New Zealand,Australia,71 runs,Sydney,"Mar 13, 2020",ODI # 4255
England,Ireland,England,6 wickets,Southampton,"Jul 30, 2020",ODI # 4256
England,Ireland,England,4 wickets,Southampton,"Aug 1, 2020",ODI # 4257
England,Ireland,Ireland,7 wickets,Southampton,"Aug 4, 2020",ODI # 4258
England,Australia,Australia,19 runs,Manchester,"Sep 11, 2020",ODI # 4259
England,Australia,England,24 runs,Manchester,"Sep 13, 2020",ODI # 4260
England,Australia,Australia,3 wickets,Manchester,"Sep 16, 2020",ODI # 4261
Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,"Oct 30, 2020",ODI # 4262
Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Nov 1, 2020",ODI # 4263
Pakistan,Zimbabwe,tied,,Rawalpindi,"Nov 3, 2020",ODI # 4264
Australia,India,Australia,66 runs,Sydney,"Nov 27, 2020",ODI # 4265
Australia,India,Australia,51 runs,Sydney,"Nov 29, 2020",ODI # 4266
Australia,India,India,13 runs,Canberra,"Dec 2, 2020",ODI # 4267
U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi,"Jan 8, 2021",ODI # 4268
U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi,"Jan 18, 2021",ODI # 4269
Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,"Jan 20, 2021",ODI # 4270
Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi,"Jan 21, 2021",ODI # 4271
Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,"Jan 22, 2021",ODI # 4272
Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,"Jan 24, 2021",ODI # 4273
Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,"Jan 25, 2021",ODI # 4274
Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,"Jan 26, 2021",ODI # 4275
West Indies,Sri Lanka,West Indies,8 wickets,North Sound,"Mar 10, 2021",ODI # 4276
West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 12, 2021",ODI # 4277
West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 14, 2021",ODI # 4278
New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,"Mar 20, 2021",ODI # 4279
New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,"Mar 23, 2021",ODI # 4280
India,England,India,66 runs,Pune,"Mar 23, 2021",ODI # 4281
New Zealand,Bangladesh,New Zealand,164 runs,Wellington,"Mar 26, 2021",ODI # 4282
India,England,England,6 wickets,Pune,"Mar 26, 2021",ODI # 4283
India,England,India,7 runs,Pune,"Mar 28, 2021",ODI # 4284
South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 2, 2021",ODI # 4285
South Africa,Pakistan,South Africa,17 runs,Johannesburg,"Apr 4, 2021",ODI # 4286
South Africa,Pakistan,Pakistan,28 runs,Centurion,"Apr 7, 2021",ODI # 4287
Netherlands,Scotland,Netherlands,14 runs,Rotterdam,"May 19, 2021",ODI # 4288
Netherlands,Scotland,Scotland,6 wickets,Rotterdam,"May 20, 2021",ODI # 4289
Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,"May 23, 2021",ODI # 4290
Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,"May 25, 2021",ODI # 4291
Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,"May 28, 2021",ODI # 4292
Netherlands,Ireland,Netherlands,1 run,Utrecht,"Jun 2, 2021",ODI # 4293
Netherlands,Ireland,Ireland,8 wickets,Utrecht,"Jun 4, 2021",ODI # 4294
Netherlands,Ireland,Netherlands,4 wickets,Utrecht,"Jun 7, 2021",ODI # 4295
England,Sri Lanka,England,5 wickets,Chester-le-Street,"Jun 29, 2021",ODI # 4296
England,Sri Lanka,England,8 wickets,The Oval,"Jul 1, 2021",ODI # 4297
England,Sri Lanka,no result,,Bristol,"Jul 4, 2021",ODI # 4298
England,Pakistan,England,9 wickets,Cardiff,"Jul 8, 2021",ODI # 4299
England,Pakistan,England,52 runs,Lord's,"Jul 10, 2021",ODI # 4300
Ireland,South Africa,no result,,Dublin (Malahide),"Jul 11, 2021",ODI # 4301
Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),"Jul 13, 2021",ODI # 4302
England,Pakistan,England,3 wickets,Birmingham,"Jul 13, 2021",ODI # 4303
Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,"Jul 16, 2021",ODI # 4304
Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),"Jul 16, 2021",ODI # 4305
Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,"Jul 18, 2021",ODI # 4306
Sri Lanka,India,India,7 wickets,Colombo (RPS),"Jul 18, 2021",ODI # 4307
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 20, 2021",ODI # 4308
Sri Lanka,India,India,3 wickets,Colombo (RPS),"Jul 20, 2021",ODI # 4309
West Indies,Australia,Australia,133 runs,Bridgetown,"Jul 20, 2021",ODI # 4310
West Indies,Australia,West Indies,4 wickets,Bridgetown,"Jul 22-24, 2021",ODI # 4311
Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),"Jul 23, 2021",ODI # 4312
West Indies,Australia,Australia,6 wickets,Bridgetown,"Jul 26, 2021",ODI # 4313
Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),"Sep 2, 2021",ODI # 4314
Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),"Sep 4, 2021",ODI # 4315
P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,"Sep 6, 2021",ODI # 4316
Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,"Sep 7, 2021",ODI # 4317
Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),"Sep 7, 2021",ODI # 4318
Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,"Sep 8, 2021",ODI # 4319
P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,"Sep 9, 2021",ODI # 4320
Ireland,Zimbabwe,no result,,Belfast,"Sep 10, 2021",ODI # 4321
Nepal,P.N.G.,Nepal,151 runs,Al Amerat,"Sep 10, 2021",ODI # 4322
Ireland,Zimbabwe,Ireland,7 wickets,Belfast,"Sep 13, 2021",ODI # 4323
Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,"Sep 13, 2021",ODI # 4324
Oman,Nepal,Oman,5 wickets,Al Amerat,"Sep 14, 2021",ODI # 4325
Oman,U.S.A.,Oman,4 wickets,Al Amerat,"Sep 16, 2021",ODI # 4326
Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,"Sep 17, 2021",ODI # 4327
Oman,Nepal,Nepal,7 wickets,Al Amerat,"Sep 19, 2021",ODI # 4328
Oman,U.S.A.,Oman,72 runs,Al Amerat,"Sep 20, 2021",ODI # 4329
P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,"Sep 25, 2021",ODI # 4330
Oman,P.N.G.,Oman,110 runs,Al Amerat,"Sep 26, 2021",ODI # 4331
Oman,Scotland,Scotland,18 runs,Al Amerat,"Sep 28, 2021",ODI # 4332
P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,"Sep 29, 2021",ODI # 4333
Oman,P.N.G.,Oman,3 wickets,Al Amerat,"Oct 1, 2021",ODI # 4334
Oman,Scotland,no result,,Al Amerat,"Oct 2, 2021",ODI # 4335
Namibia,Oman,Namibia,40 runs,Windhoek,"Nov 26, 2021",ODI # 4336
South Africa,Netherlands,no result,,Centurion,"Nov 26, 2021",ODI # 4337
Namibia,Oman,Oman,9 runs,Windhoek,"Nov 27, 2021",ODI # 4338
West Indies,Ireland,West Indies,24 runs,Kingston,"Jan 8, 2022",ODI # 4339
West Indies,Ireland,Ireland,5 wickets,Kingston,"Jan 13, 2022",ODI # 4340
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,"Jan 16, 2022",ODI # 4341
West Indies,Ireland,Ireland,2 wickets,Kingston,"Jan 16, 2022",ODI # 4342
Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,"Jan 18, 2022",ODI # 4343
South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022",ODI # 4344
Afghanistan,Netherlands,Afghanistan,36 runs,Doha,"Jan 21, 2022",ODI # 4345
South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022",ODI # 4346
Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,"Jan 21, 2022",ODI # 4347
Afghanistan,Netherlands,Afghanistan,48 runs,Doha,"Jan 23, 2022",ODI # 4348
South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022",ODI # 4349
Afghanistan,Netherlands,Afghanistan,75 runs,Doha,"Jan 25, 2022",ODI # 4350
Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 5, 2022",ODI # 4351
Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 6, 2022",ODI # 4352
India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",ODI # 4353
Oman,U.A.E.,tied,,Al Amerat,"Feb 8, 2022",ODI # 4354
India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",ODI # 4355
India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",ODI # 4356
Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Feb 23, 2022",ODI # 4357
Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,"Feb 25, 2022",ODI # 4358
Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,"Feb 28, 2022",ODI # 4359
U.A.E.,Oman,Oman,12 runs,ICCA Dubai,"Mar 5, 2022",ODI # 4360
Namibia,Oman,Namibia,110 runs,ICCA Dubai,"Mar 6, 2022",ODI # 4361
U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,"Mar 8, 2022",ODI # 4362
U.A.E.,Oman,Oman,8 runs,ICCA Dubai,"Mar 9, 2022",ODI # 4363
Namibia,Oman,Oman,7 wickets,Sharjah,"Mar 11, 2022",ODI # 4364
U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,"Mar 12, 2022",ODI # 4365
Namibia,Oman,Namibia,5 wickets,Dubai (DSC),"Mar 14, 2022",ODI # 4366
U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,"Mar 15, 2022",ODI # 4367
Nepal,P.N.G.,Nepal,2 wickets,Sharjah,"Mar 16, 2022",ODI # 4368
U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),"Mar 18, 2022",ODI # 4369
South Africa,Bangladesh,Bangladesh,38 runs,Centurion,"Mar 18, 2022",ODI # 4370
U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),"Mar 19, 2022",ODI # 4371
South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,"Mar 20, 2022",ODI # 4372
U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),"Mar 21, 2022",ODI # 4373
Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),"Mar 22, 2022",ODI # 4374
South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,"Mar 23, 2022",ODI # 4375
Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,"Mar 25, 2022",ODI # 4376
Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,"Mar 26, 2022",ODI # 4377
New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,"Mar 29, 2022",ODI # 4378
Pakistan,Australia,Australia,88 runs,Lahore,"Mar 29, 2022",ODI # 4379
Pakistan,Australia,Pakistan,6 wickets,Lahore,"Mar 31, 2022",ODI # 4380
New Zealand,Netherlands,New Zealand,118 runs,Hamilton,"Apr 2, 2022",ODI # 4381
Pakistan,Australia,Pakistan,9 wickets,Lahore,"Apr 2, 2022",ODI # 4382
New Zealand,Netherlands,New Zealand,115 runs,Hamilton,"Apr 4, 2022",ODI # 4383
P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),"Apr 9, 2022",ODI # 4384
Oman,Scotland,Scotland,4 runs,Dubai (DSC),"Apr 10, 2022",ODI # 4385
Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),"Apr 12, 2022",ODI # 4386
P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),"Apr 13, 2022",ODI # 4387
Oman,Scotland,Scotland,2 wickets,Dubai (DSC),"Apr 15, 2022",ODI # 4388
Oman,P.N.G.,Oman,85 runs,Dubai (DSC),"Apr 16, 2022",ODI # 4389
U.S.A.,Scotland,U.S.A.,104 runs,Pearland,"May 28, 2022",ODI # 4390
U.S.A.,Scotland,Scotland,111 runs,Pearland,"May 29, 2022",ODI # 4391
Netherlands,West Indies,West Indies,7 wickets,Amstelveen,"May 31, 2022",ODI # 4392
Scotland,U.A.E.,Scotland,4 wickets,Pearland,"May 31, 2022",ODI # 4393
U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,"Jun 1, 2022",ODI # 4394
Netherlands,West Indies,West Indies,5 wickets,Amstelveen,"Jun 2, 2022",ODI # 4395
Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,"Jun 3, 2022",ODI # 4396
Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,"Jun 4, 2022",ODI # 4397
Netherlands,West Indies,West Indies,20 runs,Amstelveen,"Jun 4, 2022",ODI # 4398
U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,"Jun 4, 2022",ODI # 4399
Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,"Jun 6, 2022",ODI # 4400
Pakistan,West Indies,Pakistan,5 wickets,Multan,"Jun 8, 2022",ODI # 4401
U.S.A.,Oman,U.S.A.,114 runs,Pearland,"Jun 8, 2022",ODI # 4402
Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,"Jun 9, 2022",ODI # 4403
Nepal,Oman,Oman,13 runs,Pearland,"Jun 9, 2022",ODI # 4404
Pakistan,West Indies,Pakistan,120 runs,Multan,"Jun 10, 2022",ODI # 4405
U.S.A.,Nepal,tied,,Pearland,"Jun 11, 2022",ODI # 4406
Pakistan,West Indies,Pakistan,53 runs,Multan,"Jun 12, 2022",ODI # 4407
U.S.A.,Oman,Oman,13 runs,Pearland,"Jun 12, 2022",ODI # 4408
Sri Lanka,Australia,Australia,2 wickets,Pallekele,"Jun 14, 2022",ODI # 4409
Nepal,Oman,Nepal,7 wickets,Pearland,"Jun 14, 2022",ODI # 4410
U.S.A.,Nepal,U.S.A.,39 runs,Pearland,"Jun 15, 2022",ODI # 4411
Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,"Jun 16, 2022",ODI # 4412
Netherlands,England,England,232 runs,Amstelveen,"Jun 17, 2022",ODI # 4413
Netherlands,England,England,6 wickets,Amstelveen,"Jun 19, 2022",ODI # 4414
Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS),"Jun 19, 2022",ODI # 4415
Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS),"Jun 21, 2022",ODI # 4416
Netherlands,England,England,8 wickets,Amstelveen,"Jun 22, 2022",ODI # 4417
Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Jun 24, 2022",ODI # 4418
Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide),"Jul 10, 2022",ODI # 4419
Scotland,Namibia,Scotland,77 runs,Glasgow,"Jul 10, 2022",ODI # 4420
West Indies,Bangladesh,Bangladesh,6 wickets,Providence,"Jul 10, 2022",ODI # 4421
Namibia,Nepal,Namibia,40 runs,Ayr,"Jul 11, 2022",ODI # 4422
Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide),"Jul 12, 2022",ODI # 4423
England,India,India,10 wickets,The Oval,"Jul 12, 2022",ODI # 4424
Scotland,Nepal,Nepal,5 wickets,Glasgow,"Jul 13, 2022",ODI # 4425
West Indies,Bangladesh,Bangladesh,9 wickets,Providence,"Jul 13, 2022",ODI # 4426
Scotland,Namibia,Scotland,3 wickets,Glasgow,"Jul 14, 2022",ODI # 4427
England,India,England,100 runs,Lord's,"Jul 14, 2022",ODI # 4428
Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide),"Jul 15, 2022",ODI # 4429
Namibia,Nepal,Namibia,63 runs,Ayr,"Jul 16, 2022",ODI # 4430
West Indies,Bangladesh,Bangladesh,4 wickets,Providence,"Jul 16, 2022",ODI # 4431
Scotland,Nepal,Scotland,8 wickets,Glasgow,"Jul 17, 2022",ODI # 4432
England,India,India,5 wickets,Manchester,"Jul 17, 2022",ODI # 4433
England,South Africa,South Africa,62 runs,Chester-le-Street,"Jul 19, 2022",ODI # 4434
England,South Africa,England,118 runs,Manchester,"Jul 22, 2022",ODI # 4435
West Indies,India,India,3 runs,Port of Spain,"Jul 22, 2022",ODI # 4436
England,South Africa,no result,,Leeds,"Jul 24, 2022",ODI # 4437
West Indies,India,India,2 wickets,Port of Spain,"Jul 24, 2022",ODI # 4438
West Indies,India,India,119 runs,Port of Spain,"Jul 27, 2022",ODI # 4439
Scotland,New Zealand,New Zealand,7 wickets,Edinburgh,"Jul 31, 2022",ODI # 4440
Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 5, 2022",ODI # 4441
Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 7, 2022",ODI # 4442
Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare,"Aug 10, 2022",ODI # 4443
Scotland,U.A.E.,Scotland,64 runs,Aberdeen,"Aug 10, 2022",ODI # 4444
U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen,"Aug 11, 2022",ODI # 4445
Scotland,U.S.A.,Scotland,5 wickets,Aberdeen,"Aug 13, 2022",ODI # 4446
Scotland,U.A.E.,Scotland,86 runs,Aberdeen,"Aug 14, 2022",ODI # 4447
Netherlands,Pakistan,Pakistan,16 runs,Rotterdam,"Aug 16, 2022",ODI # 4448
Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen,"Aug 17, 2022",ODI # 4449
West Indies,New Zealand,West Indies,5 wickets,Bridgetown,"Aug 17, 2022",ODI # 4450
Zimbabwe,India,India,10 wickets,Harare,"Aug 18, 2022",ODI # 4451
Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam,"Aug 18, 2022",ODI # 4452
West Indies,New Zealand,New Zealand,50 runs,Bridgetown,"Aug 19, 2022",ODI # 4453
Zimbabwe,India,India,5 wickets,Harare,"Aug 20, 2022",ODI # 4454
Netherlands,Pakistan,Pakistan,9 runs,Rotterdam,"Aug 21, 2022",ODI # 4455
West Indies,New Zealand,New Zealand,5 wickets,Bridgetown,"Aug 21, 2022",ODI # 4456
Zimbabwe,India,India,13 runs,Harare,"Aug 22, 2022",ODI # 4457
Australia,Zimbabwe,Australia,5 wickets,Townsville,"Aug 28, 2022",ODI # 4458
Australia,Zimbabwe,Australia,8 wickets,Townsville,"Aug 31, 2022",ODI # 4459
Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville,"Sep 3, 2022",ODI # 4460
Australia,New Zealand,Australia,2 wickets,Cairns,"Sep 6, 2022",ODI # 4461
Australia,New Zealand,Australia,113 runs,Cairns,"Sep 8, 2022",ODI # 4462
P.N.G.,U.S.A.,tied,,Port Moresby,"Sep 11, 2022",ODI # 4463
Australia,New Zealand,Australia,25 runs,Cairns,"Sep 11, 2022",ODI # 4464
P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby,"Sep 13, 2022",ODI # 4465
Namibia,U.S.A.,Namibia,79 runs,Port Moresby,"Sep 15, 2022",ODI # 4466
Namibia,U.S.A.,Namibia,68 runs,Port Moresby,"Sep 17, 2022",ODI # 4467
P.N.G.,Namibia,Namibia,167 runs,Port Moresby,"Sep 20, 2022",ODI # 4468
P.N.G.,Namibia,Namibia,61 runs,Port Moresby,"Sep 21, 2022",ODI # 4469
India,South Africa,South Africa,9 runs,Lucknow,"Oct 6, 2022",ODI # 4470
India,South Africa,India,7 wickets,Ranchi,"Oct 9, 2022",ODI # 4471
India,South Africa,India,7 wickets,Delhi,"Oct 11, 2022",ODI # 4472
Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur,"Nov 14, 2022",ODI # 4473
Nepal,U.A.E.,Nepal,3 wickets,Kirtipur,"Nov 16, 2022",ODI # 4474
Australia,England,Australia,6 wickets,Adelaide,"Nov 17, 2022",ODI # 4475
Nepal,U.A.E.,Nepal,6 wickets,Kirtipur,"Nov 18, 2022",ODI # 4476
Australia,England,Australia,72 runs,Sydney,"Nov 19, 2022",ODI # 4477
Namibia,P.N.G.,Namibia,8 wickets,Windhoek,"Nov 19, 2022",ODI # 4478
Namibia,U.S.A.,U.S.A.,71 runs,Windhoek,"Nov 20, 2022",ODI # 4479
Australia,England,Australia,221 runs,Melbourne,"Nov 22, 2022",ODI # 4480
P.N.G.,U.S.A.,U.S.A.,6 wickets,Windhoek,"Nov 22, 2022",ODI # 4481
Namibia,P.N.G.,Namibia,3 wickets,Windhoek,"Nov 23, 2022",ODI # 4482
New Zealand,India,New Zealand,7 wickets,Auckland,"Nov 25, 2022",ODI # 4483
P.N.G.,U.S.A.,U.S.A.,35 runs,Windhoek,"Nov 25, 2022",ODI # 4484
Sri Lanka,Afghanistan,Afghanistan,60 runs,Pallekele,"Nov 25, 2022",ODI # 4485
Namibia,U.S.A.,Namibia,6 wickets,Windhoek,"Nov 26, 2022",ODI # 4486
New Zealand,India,no result,,Hamilton,"Nov 27, 2022",ODI # 4487
Sri Lanka,Afghanistan,no result,,Pallekele,"Nov 27, 2022",ODI # 4488
New Zealand,India,no result,,Christchurch,"Nov 30, 2022",ODI # 4489
Sri Lanka,Afghanistan,Sri Lanka,4 wickets,Pallekele,"Nov 30, 2022",ODI # 4490
Namibia,Scotland,Scotland,4 wickets,Windhoek,"Dec 1, 2022",ODI # 4491
Namibia,Nepal,no result,,Windhoek,"Dec 2, 2022",ODI # 4492
Bangladesh,India,Bangladesh,1 wicket,Mirpur,"Dec 4, 2022",ODI # 4493
Nepal,Scotland,Scotland,3 wickets,Windhoek,"Dec 4, 2022",ODI # 4494
Namibia,Scotland,Namibia,3 wickets,Windhoek,"Dec 5, 2022",ODI # 4495
Bangladesh,India,Bangladesh,5 runs,Mirpur,"Dec 7, 2022",ODI # 4496
Namibia,Nepal,Namibia,86 runs,Windhoek,"Dec 7, 2022",ODI # 4497
Nepal,Scotland,Scotland,8 wickets,Windhoek,"Dec 8, 2022",ODI # 4498
Bangladesh,India,India,227 runs,Chattogram,"Dec 10, 2022",ODI # 4499
Pakistan,New Zealand,Pakistan,6 wickets,Karachi,"Jan 9, 2023",ODI # 4500
India,Sri Lanka,India,67 runs,Guwahati,"Jan 10, 2023",ODI # 4501
Pakistan,New Zealand,New Zealand,79 runs,Karachi,"Jan 11, 2023",ODI # 4502
India,Sri Lanka,India,4 wickets,Eden Gardens,"Jan 12, 2023",ODI # 4503
Pakistan,New Zealand,New Zealand,2 wickets,Karachi,"Jan 13, 2023",ODI # 4504
India,Sri Lanka,India,317 runs,Thiruvananthapuram,"Jan 15, 2023",ODI # 4505
Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,"Jan 18, 2023",ODI # 4506
India,New Zealand,India,12 runs,Hyderabad,"Jan 18, 2023",ODI # 4507
Zimbabwe,Ireland,Ireland,46 runs,Harare,"Jan 21, 2023",ODI # 4508
India,New Zealand,India,8 wickets,Raipur,"Jan 21, 2023",ODI # 4509
Zimbabwe,Ireland,no result,,Harare,"Jan 23, 2023",ODI # 4510
India,New Zealand,India,90 runs,Indore,"Jan 24, 2023",ODI # 4511
South Africa,England,South Africa,27 runs,Bloemfontein,"Jan 27, 2023",ODI # 4512
South Africa,England,South Africa,5 wickets,Bloemfontein,"Jan 29, 2023",ODI # 4513
South Africa,England,England,59 runs,Kimberley,"Feb 1, 2023",ODI # 4514
Nepal,Namibia,Nepal,2 wickets,Kirtipur,"Feb 14, 2023",ODI # 4515
Namibia,Scotland,Scotland,10 wickets,Kirtipur,"Feb 15, 2023",ODI # 4516
Nepal,Scotland,Nepal,3 wickets,Kirtipur,"Feb 17, 2023",ODI # 4517
Nepal,Namibia,Nepal,3 wickets,Kirtipur,"Feb 18, 2023",ODI # 4518
Namibia,Scotland,Scotland,43 runs,Kirtipur,"Feb 20, 2023",ODI # 4519
